"username","description"
"RonCrossman","Sports fan, Tech Enthusiast, and PC gamer. #GoCaps #ISupportIndieComics   :star of David::frog:"
"illiana777","So grateful for my relationship with Jesus and my family. Proud conservative. Pro-life! #MAGA #Trump2024:flag: United States: #NoRetreat"
"duneexpert","Chief Editor of TIME, print edition"
"Jax09Jackie",""
"Erios67345622",""
"TimcikTom","Just your average blue collar guy"
"HeidiV92184","God first. Wife. Mama."
"SkyTyler",""
"ONLYFLOWERS__","ADULT CONTENT /  ALL CONTENT  COLLECTED FROM THE NET , YOU TUBE VIDEOS, & RETWEETED TWEETS / THANKS"
"FolwerSwet","‏‏‏ ليبيه نحب بلادي نكره الضلم نكره الاخوان الخونه وحكومة قطر الخاينه  واي انسان ما عنداش اسلوب ما يتابع
سلام"
"realDanBel","Name says it all, I have impressive specs.

Love Jesus Christ :dove::folded hands: light skin tone::heart suit:. FB all like minded frens. DeSantis 2024."
"KimPlayer6","Doggie Mom. Book nerd. out of office. Small business owner. I let the dogs out, that’s who."
"k68mCeoN0bxshgM",""
"cherylg64006948","Nannie to 1 Grandson"
"Robwww1",""
"DanielleBloeme","#Environment  #Resistance  #RemoveMusk  #TooFarLeft   #ClimateAction  #EarthIsOurHome  #Peace  #WorldCooperation  #UnityNotHate 
#WeAreInThisTogether  #Illini"
"juicyboy1957","Soccer"
"dagzoeck","Carpenter. My superpower is turning wood into things. Surfer Kayaker Fisherman. IMSA Fan. Gators Fan Outdoor enthusiast #Forward  #YangGang #ProAmerica"
"rickmoore1968","The statements that are spread on Twitter are insane, you should research and  fact check even the things you want to believe."
"skb_sara","I'm a mom & love anything that helps with anti-aging, working out, & staying healthy."
"FLWillRegret22",":flag: United States::victory hand: dark skin tone::victory hand: medium-dark skin tone::victory hand: medium skin tone::victory hand: medium-light skin tone::victory hand: light skin tone:Florida is a Blue state.:blue heart::water wave: I will always resist the Republican party and every policy they stand for. https://t.co/jmwzPsTlu3"
"awakeinflorida","Loving my beautiful life...blessed with a wonderful husband and great kids :flag: United States:"
"cmchase65","Conservative, Native Floridian, Southern, Catholic, and yes...that other thing :rainbow:! Very Proud American!!"
"BriPro4","“Not to speak is to speak. Not to act is to act.” - Dietrich Bonhoeffer"
"MelmoMacdaffy","https://t.co/Y21elHhB8I
Still Masking
#landback
Anti-racist 
#BlackLivesMatter 
#Climate"
"IainBro91538380","Big mouth big head big heart big boots"
"Sheebasheeba",""
"KnowsSuggests","... always 'On-the-Front-Line'! ..."
"eazybucs","Only person in Ray Jay Stadium history to go 3/3 in the Piblix Pigskin Payout #GoBucs #itsallabouttheU:raising hands: medium-light skin tone:  #Birdland #Bolts:high voltage:️"
"pacmanyourass","Originally from Long Island New York. Love sports was a national champion wrestler also love combat sports Science  & Tesla."
"RoseannWashbur1",""
"ElizaKetcher7","Multimedia Producer @Independent / bylines @GraziaUK, @Dazed and @EveningStandard / pun connoisseur :movie camera::television::memo:"
"MichaelYorkjr1",""
"guidoman37","H.S. grad from Santa Maria, Valley Christian Academy 1979
College Grad. B.A. from Bob Jones University, Greenville, S.C  1990"
"Pirula1315","Animal lover :dog face: Trump supporter :flag: United States: Catholic :folded hands: medium-light skin tone: Pro 2A :flexed biceps: Save America :flag: United States: Back the Blue :blue heart: :red heart:"
"jao64o","Big Mets fan. Love my pup and Bravo tv."
"ThomasEBrown3",""
"lizlogan76","Longtime Kamala Harris voter
 Musician, Songwriter, and Democratic politics. 
Persians, Doxies, Babies & the Hollywood Medium"
"56dandelion",""
"Sonorandesertra","Born South Milwaukee, Wisconsin  Grad SM HS and U Wisconsin Whitewater Cum Laude 1964 BS BusAd  Married 3 children and 4 gchildren Retired Rexnord 2002 38 years"
"LiteraryLattes","Librarian and freelance writer/book reviewer interested in pop culture, philosophy, music, science, space history, and all things literary. she/her"
"JamieTnLabs",""
"Oopral",""
"zxw3366","من تربيه ابوى عرفت معنى الفخر"
"delano_sherry",""
"Teddyt59288880",""
"XRPready","ADA and BTC!"
"pedro94131","https://t.co/alzpKqXlvd"
"JanORice1","Resister, democrat, Liberal, artist, believer in the power of kindness, love, and  the golden rule , non-religious ...... #RESITANCE, 
 #FBR  #EndTheGOP"
"LoriLightning","Democrat living in DeSantis made hell. Save Fl education before this madness spreads to other states. Ban assault weapons now. #Resist #BeTheThunder #GoBolts"
"_AshTronomical","Body Snatcher:woman lifting weights: medium-dark skin tone:@AshleteL • Twirler • we’d + wine connoisseur •"
"LeftyWilbury18","Good & Reckless & True•Only one thing I did wrong-stayed in Mississippi a day too long •RN+BAs History+PoliSci #:blue square: #BLM #HYDR #HottyToddy #MahsaAmini"
"revengegamer93","If you vote republican still, fuck off. A fetus is not a child, abortion isn't murder for the same reason. #FuckTheSupremeCourt i block maga."
"slk10001","Married mom of 3, used to be a registered Independent, am now a Democrat, never trumper, #resist"
"booker711",""
"JensHaase7",""
"BaumThorman",""
"USBornNRaised","Veteran, Nurse, American Citizen. Multi-racial family. Veterans before illegals. :flag: United States:Here to fact check the fact checkers. Curse on weekends."
"SWOWTITTIEBANG","Trans, She/Her/Hers :princess: medium skin tone: #BLM #FreeBritney

 I am an emotional nightmare"
"souljahsingh",""
"kutz_cole","Educator, registered Democrat, vegetarian, fully vaccinated, fully caffeinated, MMA fan, devotee of @ThichNhatHanh, LGBTQ+ ally, supporter of @PanCAN."
"reallydrsam","Don't fit the mold. Woman, Spanish, Physician and CONSERVATIVE! Happily married. Follow patriots only. No PM. #UltraMAGA Have lost 50% of followers."
"FrankFanning3",""
"jeb1149","MAGA, Retired, Veteran (Army 69-71)"
"FLRouleau","I joined for sports and dogs. I landed on politics. :woman shrugging: 2A. Loathe criminals. Conservative with 2 liberal BFFs."
"StartsYourself","Make America great again! Let the thieves go to jail!"
"dgtlsldr5150","There is literally a mountain of evidence. Biden cheated and got caught. #Boom"
"JohnnyMackay5","Family, greyhounds, and Canada! https://t.co/noa2fYH7jo"
"MillerG_2021","Strong supporter of Veterans and our Constitution. Followed by Deneen Borelli. #freeAssange"
"grammaspajamas","easily distracted by shiny objects"
"JackValJack","18. Libertarian. Agnostic. he/him. Expect political/film takes/memes. actually autistic/ADHD. ET Member. MAPs will be blocked"
"stuartadel","Husband, father of 3, and not a bad guy."
"RenaBlueDem","American loving, blue Democrat. no LISTS or DMS :folded hands: light skin tone: :flag: United States:"
"IngridByTheBay","https://t.co/Ph0kiTijB9 #BlueCrew #Resist #BLM Never forget #Jan6th!
DMs and the former guy’s cult WILL BE BLOCKED"
"30ASeawitch","Достаточно!
sick of cults. sick of corruption."
"celinasantana79","- YOLO:smiling face with heart-eyes:"
"rms_nyc","I study people and life; rediscovered my natural curiosity when I became a parent.  Enjoy nature, sports, genuine people, life's nuances, and random stuff."
"Jaws17","Have camera will travel, smile!"
"frank_smelt",""
"KarabelleMommy","Lucky to have an awesome husband, 2 amazing girls, and the best dog ever. Being a parent is awesome...parenting sucks."
"HedleyLamarr8","Evile Genius"
"KDSweaty","TERM LIMITS NOW!!
:flag: United States:Combat Wounded Vet:flag: U.S. Outlying Islands:#Patriot #codeofvets"
"DCastle26208",""
"SCRCali68","#BidenHarris #BlueWave2024 :blue heart::smiling face with smiling eyes::water wave: #UncapTheHouse :globe showing Americas: #ExpandTheCourt #LifelongDemocrat #MarchForOurLives :peace symbol:"
"LionHunterMusic","Independent Thinker. Neither Left or Right. Definitely zero tolerance for Hypocrisy. Crusader for truth. Use caution: Dark sarcasm. Dark humor.

#Resist #FBR"
"606ccde4099d41a",""
"GordoFSU",""
"momofkeeper1","apologetic to every thing"
"Meidas_Brian23","Progressive Plumber trying to fight fascism.. love my dog dearly.. I may eat ice cream nightly.. #Equality #BLM #Resister @MeidasBrian23 on @tiktok :flag: United States:"
"BrickmanInGA","Smedley Butler is a hero. Elon is a vastly overrated fraud. The GOP is a threat to humanity. Fox News is propaganda. Pro-life is not Christian faith."
"stuart_bumpus","I’m a “Realistic thinking”, educated, family-loving guy."
"usedtwobe","PNW. Old Democrat. Engineer. Dog & Cat Mom. Women’s Rights are Human Rights. Really tired of Old White Men legislating women’s bodies. #StillWithHer No DMs"
"fatbuttfunny","Now all you hookers and hoes know how I feel :nail polish:"
"DEATHBALL13","Patriot, #TrumpWon. 2A and NRA Member, #MAGA, on GETTR, Parler, MeWe and Telegram ALL @deathball13 and TRUTH Social at deathball13. #Democrats are #racist #POS."
"LMaggieComedy","If You Can't Say Wtf You Wanna Say On Twitta, Then Whea Tf Could You Say It At?! James 1: 5-8. #ActAccordingly :balloon::hot beverage:️:lying face::upside-down face::rolling on the floor laughing: :balloon: IG:play button: LisaMaggieComedy"
"tasherron","#StandWithUkraine:flag: Ukraine:
NO DMs #JohnLewisBridge
Politics don't corrupt people; people corrupt politics.
#theResistence #ExpandTheCourt #FourNames    :globe showing Americas::flag: U.S. Outlying Islands::balance scale::blue heart::baseball::fleur-de-lis:"
"Trusting_not",""
"OhJack17","DePodwin Award-Winning for 'Something Real Good I'm Sure' Rutgers Prof. Anti-Fascist. Pro-Vaxxer. Writer. Musician. Self-Amuser:

Enough talk. It's time to act."
"THETRUT57085252",""
"SMLMR5","Unapologetically part of “The Resistance.” Runner. Dog lover. Football lover. Go Bills!"
"ChocoMingo","21 - He/Him - :flag: United States::flag: Mexico::flag: Colombia: - Artist - TV News Geek - Furry - Pan - Likes Cartoons - :flamingo: - Icon by @Freddy1565 (Personal Acc: @Flamingo_Pulse)"
"Chief3412","Individual patriot first, conservative second, republican third."
"AmericanMade__","STOP ILLEGAL IMMIGRATION! NO ID, NO VOTE DEPORT ILLEGAL ALIENS FINISH THE WALL #TRUMP:keycap: 2::keycap: 0::keycap: 2::keycap: 4: :flag: United States: #AmericaFirst :flag: United States: #MAGA :flag: United States: #IFBAP :flag: United States:"
"sindictadore",""
"KevinStalker9","ǝʌᴉʇɔǝdsɹǝԀ, @_rawnessofreality podcast. Driven and focused with each present moment."
"satsuma3333","Proud American. Love our country, not perfect, but close. Best place in the world to live."
"BobbiPitz","keepin it real...focused on truth....will fight for democracy ... Former IT manager, demonstrator, trainer. #BidenismyPresident"
"geezlais","manic spy balloon"
"Manar06027270","I love BTS so much:purple heart:
Jung kook He's my hero:butterfly:
 I am the sun Shining in your heart:fallen leaf:
#:female sign:"
"bkramsey",":seedling:Vegan:seedling:                               
#Blue2022 :water wave::water wave::water wave:
California Dreamin' :palm tree::palm tree:"
"moon5river72","Retired,  B.S. Clinical Psychology, World Traveler, Environmentalist, Concerned Citizen. Parent"
"Blyn1030","No DMs. Mom to 3 (2 dogs, 1 human) Democracy in peril. Stronger together. Vax’d and boosted. :peace symbol::flag: Ukraine:"
"wilmastewart1","Wife, Mother, Grandmother, Democrat!! I am mad as hell! Vote blue 2020!!"
"Katchin05","brown glass bottle full of shavings from the:sun: intj. scorpio. “lefty jawn”. “greedy misandrist”. bird. ahgase. coys. unable to lower the volume on my Black girl"
"ghadeer_salaah",""
"The_Unwoke","If you devolve to posting repeated memes as your responses... You've lost the argument & get blocked! Still Black & beautiful here in the land of the free!"
"51Renee","Retired Respiratory Therapist/Wife Mom Grandma :red heart: #Resist #BlueCrew 
https://t.co/dk7EH5nwfb"
"LOVEMYHONOR","#BLM, #FBaRMY, #Resister ANTIHATE, Antitrump, AntiGQP, For the People Act, love of animals, wildlife, nature, ex-Cow Girl, music. Back-Up to @SullTammy NO DM"
"skipbutterfly","English Teacher-I get up every morning determined to both change the world and have one hell of a good time. Sometimes this makes planning my day difficult. -EW"
"JaniceGarriso14",""
"lunf_philip",""
"DavidKaufmanfl","man, husband, father, grandpa, lover of democracy & life. He/him/dude. Go Gators!"
"AlexrealtorFl1","Boosted for Measles maybe, sell homes in the #FreestateofFlorida pronouns me/myself/I #Cowboysnation #ComeonyouReds at some point Florida became the normals"
"IrishRick3",""
"EmjaeSamala","GAB: https://t.co/c5ACKjxFUV
Parler: https://t.co/HFBugyDls0
Gettr: https://t.co/sFfZhJ5uth

This is my only Twitter account."
"Rasha29027207",""
"Belly60033379","Deleted my old Twitter account. Started fresh."
"SunshineLeo82","CubanAmerican! Left Cuba 1960 never looked back! Communists offered Dad incentives to headup Special Forces cause he was USA Military Veteran & said NO WAY!:flag: U.S. Outlying Islands:"
"Huda27895739","Hda"
"SoledadIzquier7","Daughter, wife - avid reader - coffee connoisseur - libertarian independentista - best therapy: cooking/baking and watch your loved ones enjoy!"
"LynneLynne63","Love the Cardinals:baseball:️and huge Animal Lover! Miss you Mom, Dad, and Denny forever. :red heart: Vote Blue :water wave: Be Kind:blue heart: RESISTANCE"
"TunisLawrence",""
"Trumplar",":flag: United States:USMC Vet. / USN Aviator Dad. Constitutional Conservative. Proud Nationalist Trumplican. Unvaxxed.   ...and the truth shall set you free...
#TRiUMPh. #MAGA."
"Progress99vs1","#PresidentBiden - Let's save our democracy in 2022. #IStandWithUkraine :flag: Ukraine: stocking Fireball to celebrate the upcoming indictments :crossed fingers: medium skin tone::crossed fingers: medium skin tone::crossed fingers: medium skin tone:"
"bobbystone24","Men are rather reasoning than reasonable animals, for the most part governed by the impulse of passion."
"AliasCornelius",":water wave::water wave: Progressive resistor DC - FL. Animals, environment & oceans recovering ODAAT 11/06.  Blocked by @JerryFalwellJr, @anthonysabatini:pile of poo:  :rainbow:-Ally :dolphin::tropical fish:"
"tati_vict","Believer in truth, fairness, and equal rights for all. Racists and religious bigots :prohibited:. No DMs. USAF Vet"
"CatWoma24027331",":Aquarius:Just here for the show & some catnip:paw prints: :latin cross:Naturalized US Citizen:Statue of Liberty::flag: United States:US Navy Brat:anchor:Descendant of Vikings :flag: Åland Islands::prohibited:ANTI-WAR:high voltage:#MAGA:heart suit:Trump2024:fire::flag: U.S. Outlying Islands:"
"leahaller551","Retired RN, Attorney, resist, pro Democracy, adopt a rescue, save our environment, BLM, Masks & vaccinate.  Water is precious.  No DMs"
